PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   3   0   4   2   0.77099  17406.88  59.02193     0.557     0.526   112.721     0.173     0.098     1.090     1.712
   6   3  -3   4   0.76695  17315.80  34.90249     0.125     0.129   220.761     0.174     0.099     1.084     0.752
   3   3   3   4   0.76688  17314.28  44.61276     0.086     0.088   220.683     0.174     0.099     1.084     0.517
   5   4  -2   4   0.76587  17291.38  34.86412     1.364     1.419   219.518     0.174     0.099     1.083     8.162
   3   4   2   4   0.76583  17290.49  39.38874     1.303     1.352   219.473     0.174     0.099     1.083     7.797
   5   4  -3   4   0.76431  17256.11  34.77994     0.441     0.460   217.733     0.174     0.099     1.080     2.617
   2   4   3   4   0.76426  17254.95  41.36044     0.699     0.728   217.674     0.174     0.099     1.080     4.150
   6   1  -6   4   0.76294  17225.18  37.98336     0.035     0.036   216.176     0.175     0.100     1.078     0.205
   0   1   6   4   0.76285  17223.19  79.75428     0.408     0.418   216.076     0.175     0.100     1.078     2.403
   7   1  -3   4   0.76138  17189.93  34.48754     1.894     1.950   214.411     0.175     0.100     1.076    11.066
   4   1   3   4   0.76130  17188.11  48.23566     2.317     2.369   214.321     0.175     0.100     1.076    13.534
   3   5   0   4   0.76089  17178.87  35.04070     0.032     0.032   213.860     0.175     0.100     1.076     0.184
   4   0  -7   2   0.76066  17173.86  49.58782     0.604     0.612   106.805     0.175     0.100     1.075     1.758
   3   0  -7   2   0.76065  17173.48  58.38271     1.072     1.084   106.796     0.175     0.100     1.075     3.121
   3   4  -5   4   0.75933  17143.82  39.05101     0.736     0.735   212.120     0.175     0.100     1.073     4.254
   2   4  -5   4   0.75932  17143.55  41.10556     1.127     1.126   212.107     0.175     0.100     1.073     6.515
   7   1  -4   4   0.75923  17141.47  34.37371     3.359     3.357   212.004     0.175     0.100     1.073    19.406
   3   1   4   4   0.75913  17139.30  55.84473     3.190     3.191   211.896     0.176     0.100     1.073    18.425
   3   3  -6   4   0.75853  17125.63  44.17782     0.002     0.002   211.221     0.176     0.100     1.072     0.009
   6   3  -2   4   0.75854  17126.00  34.45315     0.388     0.392   211.239     0.176     0.100     1.072     2.235
   4   3   2   4   0.75850  17124.92  40.57621     0.505     0.509   211.186     0.176     0.100     1.072     2.904
   3   5  -3   4   0.75814  17116.77  34.89594     0.030     0.030   210.784     0.176     0.100     1.072     0.170
   0   5   3   4   0.75811  17116.28  37.29289     0.000     0.000   210.760     0.176     0.100     1.072     0.001
   6   3  -4   4   0.75492  17044.11  34.26344     0.287     0.278   207.228     0.176     0.101     1.067     1.620
   2   3   4   4   0.75484  17042.40  47.51031     0.030     0.029   207.144     0.177     0.101     1.067     0.171
   7   0  -2   2   0.75488  17043.27  34.48802     3.799     3.681   103.594     0.177     0.101     1.067    10.726
   5   0   2   2   0.75482  17041.99  42.84506     3.806     3.637   103.562     0.177     0.101     1.067    10.742
   4   1  -7   4   0.74927  16916.73  47.60698     3.449     3.165   201.101     0.178     0.102     1.059    18.904
   3   1  -7   4   0.74926  16916.36  55.27095     2.873     2.625   201.084     0.178     0.102     1.059    15.747
   4   3  -6   4   0.74894  16909.14  40.09546     0.572     0.517   200.741     0.178     0.102     1.059     3.131
   2   3  -6   4   0.74891  16908.52  47.20399     0.080     0.072   200.711     0.178     0.102     1.059     0.436
   7   0  -5   2   0.74866  16902.76  34.16908     4.066     3.604   100.219     0.178     0.102     1.058    11.105
   2   0   5   2   0.74855  16900.41  68.96227     4.155     3.730   100.163     0.178     0.102     1.058    11.344
   5   4  -1   4   0.74735  16873.24  33.89616     4.102     3.633   199.041     0.178     0.102     1.056    22.251
   4   4   1   4   0.74733  16872.77  36.15786     4.187     3.710   199.019     0.178     0.102     1.056    22.712
   7   1  -2   4   0.74374  16791.87  33.57877     0.155     0.137   195.230     0.179     0.103     1.051     0.825
   5   1   2   4   0.74369  16790.64  41.46802     0.130     0.116   195.173     0.179     0.103     1.051     0.693
   5   4  -4   4   0.74302  16775.48  33.67942     4.102     3.724   194.469     0.179     0.103     1.050    21.740
   1   4   4   4   0.74296  16774.26  41.75678     4.042     3.678   194.412     0.179     0.103     1.050    21.419
   5   0  -7   2   0.74167  16745.14  42.19293     3.891     3.671    96.533     0.180     0.103     1.048    10.238
   2   0  -7   2   0.74163  16744.07  68.40972     3.939     3.734    96.508     0.180     0.103     1.048    10.360
   4   4  -5   4   0.74044  16717.19  35.81972     3.747     3.714   191.779     0.180     0.104     1.047    19.587
   1   4  -5   4   0.74040  16716.43  41.63261     3.736     3.700   191.745     0.180     0.104     1.047    19.523
   6   2   0   4   0.73991  16705.29  35.42574     0.270     0.272   191.234     0.180     0.104     1.046     1.409
   7   1  -5   4   0.73779  16657.44  33.28549     0.176     0.195   189.052     0.181     0.104     1.043     0.907
   2   1   5   4   0.73769  16655.19  63.87525     0.020     0.022   188.950     0.181     0.104     1.043     0.105
   4   5  -2   4   0.73179  16521.89  32.09703     0.008     0.008   182.973     0.182     0.105     1.034     0.038
   2   5   2   4   0.73176  16521.30  34.83944     0.131     0.133   182.947     0.182     0.105     1.034     0.651
   6   3  -1   4   0.73159  16517.50  33.10444     2.092     2.139   182.779     0.182     0.105     1.034    10.424
   5   3   1   4   0.73157  16516.97  35.96772     1.983     2.018   182.755     0.182     0.105     1.034     9.877
   5   1  -7   4   0.73110  16506.52  40.86714     0.059     0.059   182.293     0.182     0.105     1.033     0.296
   2   1  -7   4   0.73106  16505.50  63.40670     0.008     0.008   182.248     0.182     0.105     1.033     0.041
   6   2  -6   4   0.72994  16480.26  34.95242     0.439     0.409   181.136     0.183     0.106     1.032     2.167
   0   2   6   4   0.72986  16478.51  61.77154     0.303     0.286   181.059     0.183     0.106     1.032     1.495
   7   2  -3   4   0.72857  16449.37  31.89062     1.984     1.828   179.782     0.183     0.106     1.030     9.722
